"","inst","volume","ram_length","ram_thickness","ram_extent","sigma","eid","calve","ram_vol","ram_percent","short_extent","ice_thickness"
"1","PYO",14422.205101856,20,70,7.1420365747068,13.8254608888174,6241,TRUE,14.3862640903102,-0.105360515657826,"no",70
"2","LWI",12165.5250605964,20,70,6.99209642741589,12.7574546285385,4697,FALSE,14.2363239430192,0,"no",70
"3","LWI",12247.4487139159,40,70,7.06133436691044,13.4601775703421,7601,TRUE,14.9987090630737,0.78845736036427,"no",70
"4","LWI",12288.2057274445,60,70,7.17548971362422,13.4249537665892,10713,TRUE,15.5183295178957,1.28093384546206,"no",70
"5","WCZ",28982.7534923789,20,70,7.6685611080159,13.3245496510701,12249,TRUE,14.9127886236192,-0.916290731874155,"no",70
"6","WCZ",29068.8837074973,40,70,7.66293785046154,13.6845051152975,16217,TRUE,15.6003125466248,-0.356674943938732,"no",70
"7","WCZ",29154.7594742265,60,70,7.743269700829,14.1448143051069,29097,TRUE,16.0861095051005,0.0953101798043249,"no",70
"8","ZVB",28195.7443597434,20,70,7.65302041380419,12.9149479875418,18145,FALSE,14.8972479294075,-0.916290731874155,"no",70
"9","ZVB",28266.5880502051,40,70,7.69074316354187,13.8254608888174,22393,TRUE,15.6281178597052,-0.22314355131421,"no",70
"10","PJJ",9777.52524926425,20,70,6.51025834052315,13.2122040814041,4065,TRUE,13.7544858561265,0,"no",70
"11","PJJ",9838.69910099907,40,70,6.65157187358973,13.8254608888174,5329,TRUE,14.588946569753,0.78845736036427,"no",70
"12","PJJ",9914.63564635635,60,70,6.79570577517351,14.2537654888954,8113,TRUE,15.138545579445,1.33500106673234,"no",70
"13","QWZ",13674.7943311773,20,70,6.92264389147589,13.0411533219788,6448,FALSE,14.1668714070792,-0.22314355131421,"no",70
"14","QWZ",13711.3092008021,40,70,7.00306545878646,13.7525707581904,6991,TRUE,14.9404401549498,0.470003629245736,"no",70
"15","QWZ",13784.0487520902,60,70,7.13568734702814,14.1661674295774,9945,TRUE,15.4785271512996,1.02961941718116,"no",70
"16","HFL",17916.4728671689,20,70,8.16933639592839,13.2996723923747,592,TRUE,15.4135639115317,0.405465108108164,"no",70
"17","HFL",18110.7702762748,40,70,8.11432470915534,14.0931422945626,1,TRUE,16.0516994053186,1.06471073699243,"no",70
"18","HFL",18303.0052177231,60,70,8.12769985281777,14.1801536715522,14257,TRUE,16.4705396570892,1.43508452528932,"no",70
"19","BSS",10535.6537528527,20,70,6.97914527506881,12.7541940540399,4393,FALSE,14.2233727906722,0.336472236621213,"no",70
"20","BSS",10630.1458127346,40,70,7.06304816338817,13.5171045221495,6393,TRUE,15.0004228595515,1.06471073699243,"no",70
"21","BSS",10723.8052947636,60,70,7.14440718032114,13.9377281906885,8281,TRUE,15.4872469845926,1.52605630349505,"no",70
"22","BCS",12041.5945787923,20,70,7.56786260546388,13.1102907961701,4873,FALSE,14.8120901210672,0.641853886172395,"no",70
"23","BCS",12165.5250605964,40,70,7.69302574841789,13.5797882244432,2489,TRUE,15.6304004445812,1.41098697371026,"no",70
"24","BCS",12328.828005938,60,70,7.73193072194849,13.4842248480304,32065,TRUE,16.0747705262199,1.84054963339749,"no",70
"25","RGN",32403.7034920393,40,70,8.48941081040379,13.9198705732885,23097,TRUE,16.4267855065671,0.262364264467491,"no",70
"26","RGN",32557.6411921994,60,70,8.49351506406166,14.1939469936845,25385,TRUE,16.8363548683331,0.641853886172395,"no",70
"27","FPS",34641.0161513775,40,70,8.50451313825886,13.5541457938299,26409,TRUE,16.4418878344222,0.182321556793955,"no",70
"28","FPS",34641.0161513775,60,70,8.52118521268578,14.0143614167094,26153,TRUE,16.8640250169572,0.587786664902119,"no",70
"29","WXE",33166.247903554,40,70,8.22013395715186,13.608159151722,23369,TRUE,16.1575086533152,-0.105360515657826,"no",70
"30","WXE",33316.6624979154,60,70,8.31016902198191,14.1448143051069,29537,TRUE,16.6530088262534,0.405465108108164,"no",70
"31","IWV",31937.4388453426,40,70,8.05293303679757,13.8737794660882,14889,TRUE,15.9903077329609,-0.105360515657826,"no",70
"32","RFC",12688.5775404495,20,70,7.31455283232408,12.8400004664301,8641,FALSE,14.5587803479274,0.262364264467491,"no",70
"33","RFC",12806.2484748657,40,70,7.34083555412327,13.404530269168,7081,TRUE,15.2782102502866,0.955511445027436,"no",70
"34","RFC",12922.8479833201,60,70,7.43543801981455,13.5325055310635,12945,TRUE,15.778277824086,1.45861502269952,"no",70
"35","MUX",30757.1129984594,20,70,7.31121838441963,12.9503881126645,86337,FALSE,14.555445900023,-1.6094379124341,"no",70
"36","MUX",30822.0700148449,40,70,7.31455283232408,13.7557605535585,15289,TRUE,15.2519275284874,-0.916290731874155,"no",70
"37","MUX",30886.890422961,60,70,7.39141523467536,14.1801536715522,30545,TRUE,15.7342550389468,-0.356674943938732,"no",70
"38","XLL",30413.8126514911,20,70,8.54110501146255,12.896716695872,132329,FALSE,15.7853325270659,-0.22314355131421,"no",70
"39","XLL",30545.0486986025,40,70,8.55583681500844,13.3908626304393,100401,TRUE,16.4932115111717,0.470003629245736,"no",70
"40","XLL",30675.7233003559,60,70,8.57111303340567,13.672411252784,145489,TRUE,16.9139528376771,0.8754687373539,"no",70
"41","RPD",29765.7521322744,20,70,7.89618060861549,12.7396377562657,66401,FALSE,15.1404081242188,-0.916290731874155,"no",70
"42","RPD",29849.6231131986,40,70,7.9402277651457,13.3692234553359,92849,TRUE,15.877602461309,-0.105360515657826,"no",70
"43","RPD",29933.2590941915,60,70,8.06934236681164,13.7667508933297,23649,TRUE,16.4121821710831,0.405465108108164,"no",70
"44","VVV",29512.7091267474,40,70,8.07402621612406,13.3063502135173,105137,TRUE,16.0114009122874,0,"no",70
