"","x1","x2","y1","y2","x1_short","x2_short","y1_short","y2_short"
"1",651261.4,651579.5,4729704,4729547,651462.756490137,651734.217357609,4729862.08165014,4729699.79362915
"2",564584,564870.224,4090530,4090942.75,564604.281101934,564738.250907001,4090645.3672932,4090863.81131396
"3",570521.5,571624.9,3988830,3987806,570711.217,571631.969,3988551.311,3987815.768
"4",548439.7,549229.6,3883811,3882794,548745.936488173,549115.967280253,3883727.19192871,3883180.8963116
"5",907940,908157.3,3832919,3832744,908018.919554603,907873.446477135,3832691.21799,3832791.1232403
"6",1782455,1782717,3322325,3321952,1782484.22643716,1782360.74551579,3321931.22566352,3322110.93550523
"7",2376146,2376122,2541749,2541327,2376641.27624248,2376547.27384337,2541480.6251085,2541020.39309814
"8",1813153,1813652,2972043,2971406,1813332.20031107,1813702.58494563,2971923.32048866,2971656.45005144
"9",1453659,1454043,3610797,3610493,1453837.561,1454017.84,3610787.948,3610652.739
"10",2866709,2866443,2145673,2142419,2866194.453,2866685.273,2144267.774,2145660.641
"11",449124.112,452481.596,3838090.324,3837557.162,448625.993,450292.871,3837740.611,3838435.144
"12",467981,468436.4,3819185,3817982,468406.517219939,468579.145204685,3819009.69124488,3818585.97029645
"13",552307.5,553152.4,3801022,3799735,552957.672,552981.31,3800509.224,3799756.761
"14",2941090,2942290,2184489,2184302,2941185.489,2941822.155,2184399.525,2184271.204
"15",190659.6,191376.9,3880308,3880530,191240.158642992,190807.250663283,3880283.75458854,3879993.64866397
"16",487854.3,489726.8,33822635,3821822,490572.411,490318.41,3820320.846,3818336.467
"17",486084.6,487141.8,3829353,3828971,486637.552,486918.125,3829383.612,3829302.155
"18",629848.4,628315.4,3813220,3811676,629821.003341649,628902.247496386,3812603.57334123,3811820.47800907
"19",733093.6,733411.5,3817909,3817887,733314.687786124,733151.250450592,3817823.83605026,3817833.17640575
"20",564232.1,563775.8,4282069,4281221,563684.925296613,563801.367736517,4281705.8501046,4282217.78306748
"21",921285.5,920798.2,3706836,3705522,921478.16,921584.552,3705676.89,3706626.235
"22",858376.9,858289.4,3792116,3791554,858668.460403107,858589.610100056,3791997.31813755,3791693.58439626
"23",1256547.061,1258219.588,3535910.735,3535953.62,1256574.681,1257050.932,3535972.615,3536157.824
"24",743640.791,745149.849,4987350.145,4987250.015,743980.987,745175.452,4986869.335,4986975.173
"25",1243762.885,1243849.42,3487022.307,3488569.125,1244162,1244230,3488290,3487267
"26",1242935.736,1244475.005,3480896.92,3480537.757,1243413,1244252,3481091,3480954
