"","time","variable","value","resolution","time","variable","value","resolution","time","variable","value","resolution","time","variable","value","resolution"
"546015",0,"stress.eid_49320",0,"10x10x10",0,"stress.eid_9156",0,"20x20x10",0,"stress.eid_4164",0,"20x20x20",0,"stress.eid_458",0,"40x40x40"
"546016",0.099231675267,"stress.eid_49320",2645.6547852,"10x10x10",0.099822774529,"stress.eid_9156",3798.2072754,"20x20x10",0.099822953343,"stress.eid_4164",-16523.859375,"20x20x20",0.099823415279,"stress.eid_458",-10399.922852,"40x40x40"
"546017",0.19955411553,"stress.eid_49320",126657.66406,"10x10x10",0.1996422708,"stress.eid_9156",126360.39844,"20x20x10",0.1998244375,"stress.eid_4164",102531.29688,"20x20x20",0.1944976449,"stress.eid_458",10145.282227,"40x40x40"
"546018",0.29994386435,"stress.eid_49320",147323.0625,"10x10x10",0.29946368933,"stress.eid_9156",147187.29688,"20x20x10",0.29743650556,"stress.eid_4164",126590.1875,"20x20x20",0.29722216725,"stress.eid_458",20891.287109,"40x40x40"
"546019",0.3991753459,"stress.eid_49320",139274.76563,"10x10x10",0.39928641915,"stress.eid_9156",139255.15625,"20x20x10",0.39725995064,"stress.eid_4164",121933.21875,"20x20x20",0.39740821719,"stress.eid_458",21362.367188,"40x40x40"
"546020",0.49949729443,"stress.eid_49320",126825.61719,"10x10x10",0.49910905957,"stress.eid_9156",126971.19531,"20x20x10",0.49708291888,"stress.eid_4164",112087.90625,"20x20x20",0.49723154306,"stress.eid_458",20148.039063,"40x40x40"
"546021",0.59981930256,"stress.eid_49320",114379.10156,"10x10x10",0.59893167019,"stress.eid_9156",114637.26563,"20x20x10",0.59984183311,"stress.eid_4164",101496.78125,"20x20x20",0.59705489874,"stress.eid_458",20427.675781,"40x40x40"
"546022",0.69905084372,"stress.eid_49320",105597.57813,"10x10x10",0.69875431061,"stress.eid_9156",105605.14844,"20x20x10",0.69966483116,"stress.eid_4164",91892.015625,"20x20x20",0.69687819481,"stress.eid_458",29205.535156,"40x40x40"
"546023",0.79937291145,"stress.eid_49320",107188.60938,"10x10x10",0.79857689142,"stress.eid_9156",107094.97656,"20x20x10",0.7994877696,"stress.eid_4164",89462.8125,"20x20x20",0.79670155048,"stress.eid_458",36548.230469,"40x40x40"
"546024",0.8996950388,"stress.eid_49320",108033.92188,"10x10x10",0.89986753464,"stress.eid_9156",107866.27344,"20x20x10",0.89931070805,"stress.eid_4164",90870.296875,"20x20x20",0.89652484655,"stress.eid_458",42673.738281,"40x40x40"
"546025",0.99892669916,"stress.eid_49320",108334.00781,"10x10x10",0.99969011545,"stress.eid_9156",108094.75781,"20x20x10",0.99913370609,"stress.eid_4164",91669.515625,"20x20x20",0.99634814262,"stress.eid_458",47766.320313,"40x40x40"
"546026",1.0992487669,"stress.eid_49320",108239.35938,"10x10x10",1.0995126963,"stress.eid_9156",107937.57813,"20x20x10",1.0989565849,"stress.eid_4164",92012.523438,"20x20x20",1.0961713791,"stress.eid_458",51985.464844,"40x40x40"
"546027",1.1995710135,"stress.eid_49320",107851.88281,"10x10x10",1.1993349791,"stress.eid_9156",107499.44531,"20x20x10",1.198779583,"stress.eid_4164",92013.859375,"20x20x20",1.1959947348,"stress.eid_458",55469.121094,"40x40x40"
"546028",1.2998931408,"stress.eid_49320",107253.10156,"10x10x10",1.2991572618,"stress.eid_9156",106859.51563,"20x20x10",1.298602581,"stress.eid_4164",91761.109375,"20x20x20",1.2958179712,"stress.eid_458",58335.390625,"40x40x40"
"546029",1.3991248608,"stress.eid_49320",106513.92969,"10x10x10",1.3989788294,"stress.eid_9156",106077.90625,"20x20x10",1.3984254599,"stress.eid_4164",91321.796875,"20x20x20",1.3956413269,"stress.eid_458",60684.710938,"40x40x40"
"546030",1.4994471073,"stress.eid_49320",105665.21094,"10x10x10",1.4988008738,"stress.eid_9156",105200.77344,"20x20x10",1.4982484579,"stress.eid_4164",90748.1875,"20x20x20",1.4954645634,"stress.eid_458",62601.816406,"40x40x40"
